id,Total_Cell_Count,Proliferative_Cell_Count,Proliferative_Cell_Percentage
hsa-miR-16-5p,402,0,0
hsa-miR-16-2-3p,449,29.5,6.570155902
hsa-miR-16-1-3p,726.5,198.5,27.32278045
hsa-miR-15b-5p,406.5,4,0.98400984
hsa-miR-15b-3p,770.5,160,20.76573653
hsa-miR-15a-5p,443,1,0.225733634
hsa-miR-15a-3p,432.5,7,1.61849711
hsa-miR-1587,458.5,10.5,2.290076336
hsa-miR-155-5p,533.5,33.5,6.279287723
hsa-miR-155-3p,459.5,33,7.18171926
hsa-miR-154-5p,635.5,44.5,7.002360346
hsa-miR-154-3p,610.5,131,21.45782146
hsa-miR-1539,667.5,88,13.1835206
hsa-miR-1538,679,226.5,33.35787923
hsa-miR-1537,713.5,211.5,29.64260687
hsa-miR-153,581.5,92.5,15.90713672
hsa-miR-152,1131.5,565.5,49.97790544
hsa-miR-151b,803,206.5,25.71606476
hsa-miR-151a-5p,815,280.5,34.41717791
hsa-miR-151a-3p,600,108,18
hsa-miR-150-5p,869.5,332.5,38.24036803
hsa-miR-150-3p,716.5,101,14.09630147
hsa-miR-149-5p,591,33,5.583756345
hsa-miR-149-3p,445.5,15.5,3.479236813
hsa-miR-148b-5p,415.5,0.5,0.120336943
hsa-miR-148b-3p,1080,389,36.01851852
hsa-miR-148a-5p,552,49,8.876811594
hsa-miR-148a-3p,1088.5,373,34.26734038
hsa-miR-147b,1043.5,399,38.2367034
hsa-miR-147a,420,3.5,0.833333333
hsa-miR-1471,769,253.5,32.96488947
hsa-miR-1470,802.5,232,28.90965732
hsa-miR-146b-5p,704,261,37.07386364
hsa-miR-146b-3p,711,65,9.142053446
hsa-miR-146a-5p,829.5,286,34.47860157
hsa-miR-146a-3p,650,196,30.15384615
hsa-miR-1469,481,6.5,1.351351351
hsa-miR-1468,616,136.5,22.15909091
hsa-miR-145-5p,600.5,143,23.81348876
hsa-miR-145-3p,442.5,4.5,1.016949153
hsa-miR-144-5p,511,35,6.849315068
hsa-miR-144-3p,516.5,17,3.291384318
hsa-miR-143-5p,549.5,34.5,6.278434941
hsa-miR-143-3p,676.5,147.5,21.80339985
hsa-miR-142-5p,630.5,108,17.12926249
hsa-miR-142-3p,640,116,18.125
hsa-miR-141-5p,380,1.5,0.394736842
hsa-miR-141-3p,568.5,65,11.43359719
hsa-miR-140-5p,598.5,61,10.19214703
hsa-miR-140-3p,973,499.5,51.336074
hsa-miR-139-5p,828,262,31.64251208
hsa-miR-139-3p,531.5,26,4.891815616
hsa-miR-138-5p,499.5,28.5,5.705705706
hsa-miR-138-2-3p,422,13.5,3.199052133
hsa-miR-138-1-3p,570,86.5,15.1754386
hsa-miR-137,457.5,5,1.092896175
hsa-miR-136-5p,785,298,37.96178344
hsa-miR-136-3p,401,4,0.997506234
hsa-miR-135b-5p,518.5,29.5,5.68948891
hsa-miR-135b-3p,600.5,49.5,8.243130724
hsa-miR-135a-5p,488,38.5,7.889344262
hsa-miR-135a-3p,681,41,6.020558003
hsa-miR-1343,478.5,53.5,11.18077325
hsa-miR-134,801.5,251.5,31.378665
hsa-miR-133b,521,22,4.222648752
hsa-miR-133a,516,27,5.23255814
hsa-miR-1324,558,88.5,15.86021505
hsa-miR-1323,560,48.5,8.660714286
hsa-miR-1322,531.5,20,3.762935089
hsa-miR-1321,482.5,17,3.523316062
hsa-miR-132-5p,594.5,9.5,1.597981497
hsa-miR-132-3p,844,232,27.48815166
hsa-miR-130b-5p,392.5,16.5,4.203821656
hsa-miR-130b-3p,734.5,94,12.79782165
hsa-miR-130a-5p,695,251,36.11510791
hsa-miR-130a-3p,762.5,96.5,12.6557377
hsa-miR-1308 Not in mirbase v21.0,NA,NA,NA
hsa-miR-1307-5p,866.5,280,32.31390652
hsa-miR-1307-3p,514,8.5,1.653696498
hsa-miR-1306-5p,495,29,5.858585859
hsa-miR-1306-3p,435.5,1,0.229621125
hsa-miR-1305,536,123.5,23.04104478
hsa-miR-1304-5p,456,3,0.657894737
hsa-miR-1304-3p,583,68,11.66380789
hsa-miR-1303,651,74.5,11.44393241
hsa-miR-1302,596,58.5,9.815436242
hsa-miR-1301,597,81,13.5678392
hsa-miR-1300 Not in mirbase v21.0,NA,NA,NA
hsa-miR-1299,570.5,49,8.588957055
hsa-miR-1298,697,115.5,16.57101865
hsa-miR-1297,690.5,132,19.11658219
hsa-miR-1296,777.5,132,16.97749196
hsa-miR-1295b-5p,427.5,15.5,3.625730994
hsa-miR-1295b-3p,279.5,8,2.862254025
hsa-miR-1295a,371.5,0.5,0.134589502
hsa-miR-1294,484.5,26,5.366357069
hsa-miR-1293,326.5,0,0
hsa-miR-1292-5p,601,108.5,18.05324459
hsa-miR-1292-3p,654.5,111,16.95951108
hsa-miR-1291,748.5,242.5,32.39812959
hsa-miR-1290,595,59.5,10
hsa-miR-129-5p,524,36,6.870229008
hsa-miR-129-2-3p,510,31.5,6.176470588
hsa-miR-129-1-3p,528.5,40,7.56859035
hsa-miR-1289,469,11.5,2.452025586
hsa-miR-1288,534.5,19.5,3.648269411
hsa-miR-1287,610.5,42,6.87960688
hsa-miR-1286,571.5,71.5,12.51093613
hsa-miR-1285-5p,814.5,189.5,23.26580724
hsa-miR-1285-3p,590.5,50.5,8.552074513
hsa-miR-1284,760.5,284,37.34385273
hsa-miR-1283,814,293.5,36.05651106
hsa-miR-1282,545.5,57,10.44912924
hsa-miR-1281,548,39.5,7.208029197
hsa-miR-1280  Not in mirbase v21.0,NA,NA,NA
hsa-miR-128-3p,580.5,38.5,6.632213609
hsa-miR-1279,928.5,424.5,45.71890145
hsa-miR-1278,488,6,1.229508197
hsa-miR-1277-5p,540.5,48,8.88066605
hsa-miR-1277-3p,671,207,30.84947839
hsa-miR-1276,505.5,36.5,7.220573689
hsa-miR-1275,443.5,5,1.127395716
hsa-miR-1274b  Not in mirbase v21.0,NA,NA,NA
hsa-miR-1274a  Not in mirbase v21.0,NA,NA,NA
hsa-miR-1273g-5p,601,110,18.30282862
hsa-miR-1273g-3p,398,3,0.753768844
hsa-miR-1273f,610,176,28.85245902
hsa-miR-1273e,511.5,20.5,4.007820137
hsa-miR-1273d,605,181.5,30
hsa-miR-1273c,608.5,135.5,22.26787182
hsa-miR-1273a,602.5,88,14.60580913
hsa-miR-1272,543,61.5,11.32596685
hsa-miR-1271-5p,493.5,7.5,1.519756839
hsa-miR-1271-3p,768,162.5,21.15885417
hsa-miR-1270,524,18,3.435114504
hsa-miR-127-5p,493,5.5,1.115618661
hsa-miR-127-3p,457,4.5,0.984682713
hsa-miR-1269b,446,7,1.569506726
hsa-miR-1269a,484.5,8.5,1.754385965
hsa-miR-1268b,798.5,347.5,43.51909831
hsa-miR-1268a,810,278.5,34.38271605
hsa-miR-1267,768.5,314,40.85881588
hsa-miR-1266,600,87.5,14.58333333
hsa-miR-1265,882.5,607.5,68.83852691
hsa-miR-1264,655,105.5,16.10687023
hsa-miR-1263,527.5,14,2.654028436
hsa-miR-1262,540,5.5,1.018518519
hsa-miR-1261,466.5,12.5,2.679528403
hsa-miR-1260b,730,226,30.95890411
hsa-miR-1260a,675,198,29.33333333
hsa-miR-126-5p,666.5,148,22.20555139
hsa-miR-126-3p,493.5,26.5,5.369807497
hsa-miR-125b-5p,738.5,212,28.70683819
hsa-miR-125b-2-3p,482.5,24.5,5.077720207
hsa-miR-125b-1-3p,528,68.5,12.97348485
hsa-miR-125a-5p,692.5,256.5,37.03971119
hsa-miR-125a-3p,581,132.5,22.80550775
hsa-miR-1259  Not in mirbase v21.0,NA,NA,NA
hsa-miR-1258,665.5,91,13.67392938
hsa-miR-1257,443,1.5,0.338600451
hsa-miR-1256,446,1,0.224215247
hsa-miR-1255b-5p,699.5,146,20.87205147
hsa-miR-1255b-2-3p,610,212,34.75409836
hsa-miR-1255a,821,224,27.28380024
hsa-miR-1254,531,43,8.097928437
hsa-miR-1253,536.5,50,9.319664492
hsa-miR-1252,713.5,206.5,28.94183602
hsa-miR-1251,642,87.5,13.62928349
hsa-miR-1250,549,11,2.003642987
hsa-miR-1249,725.5,179,24.67263956
hsa-miR-1248,908,333,36.67400881
hsa-miR-1247-5p,815,263,32.26993865
hsa-miR-1247-3p,832,311.5,37.43990385
hsa-miR-1246,712.5,143.5,20.14035088
hsa-miR-1245b-5p,507.5,21,4.137931034
hsa-miR-1245b-3p,462.5,22,4.756756757
hsa-miR-1245a,412.5,2.5,0.606060606
hsa-miR-1244,438.5,30,6.841505131
