ID,Total_Cell_Count,MCavg_Norm_Cell_Count,Z_score
hsa-miR-6068,578,1.105536849,-0.054767917
hsa-miR-606,538.5,1.029985456,-0.315182823
hsa-miR-605,479,0.916180192,-0.707453379
hsa-miR-604,408,0.780378952,-1.175540932
hsa-miR-603,433,0.82819629,-1.010721371
hsa-miR-602,803.5,1.536849236,1.431904525
hsa-miR-601,560,1.071108366,-0.173438001
hsa-miR-600,555.5,1.062501245,-0.203105522
hsa-miR-599,592.5,1.133270905,0.040827429
hsa-miR-598,627.5,1.200215178,0.271574815
hsa-miR-597,654,1.250901556,0.446283549
hsa-miR-596,474.5,0.907573071,-0.7371209
hsa-miR-595,682,1.304456974,0.630881458
hsa-miR-593-5p,547,1.04624335,-0.259144172
hsa-miR-593-3p,361,0.690482357,-1.485401707
hsa-miR-592,662.5,1.267159451,0.5023222
hsa-miR-591,740.5,1.416349545,1.016559231
hsa-miR-590-5p,520,0.994600626,-0.437149298
hsa-miR-590-3p,716,1.369488554,0.855036061
hsa-miR-589-5p,667,1.275766572,0.531989721
hsa-miR-589-3p,623,1.191608057,0.241907294
hsa-miR-588,578,1.105536849,-0.054767917
hsa-miR-587,636,1.216473073,0.327613465
hsa-miR-586,639,1.222211153,0.347391813
hsa-miR-585,514,0.983124465,-0.476705993
hsa-miR-584-5p,541,1.034767189,-0.298700867
hsa-miR-584-3p,524.5,1.003207746,-0.407481777
hsa-miR-583,574.5,1.098842422,-0.077842655
hsa-miR-582-5p,882,1.686995676,1.949437947
hsa-miR-582-3p,584,1.11701301,-0.015211222
hsa-miR-581,510.5,0.976430037,-0.499780732
hsa-miR-580,537,1.027116415,-0.325071997
hsa-miR-579,567.5,1.085453567,-0.123992132
hsa-miR-5787,709,1.356099699,0.808886584
hsa-miR-578,444,0.849235919,-0.938200764
hsa-miR-577,673.5,1.288199079,0.574842807
hsa-miR-576-5p,610,1.166743042,0.156201122
hsa-miR-576-3p,680,1.300631587,0.617695893
hsa-miR-575,690.5,1.320714869,0.686920109
hsa-miR-574-5p,563,1.076846447,-0.153659653
hsa-miR-574-3p,647,1.237512701,0.400134072
hsa-miR-5739,528.5,1.01085852,-0.381110648
hsa-miR-573,442,0.845410532,-0.951386329
hsa-miR-572,774.5,1.481381124,1.240713834
hsa-miR-571,400,0.765077404,-1.228283192
hsa-miR-5708,526.5,1.007033133,-0.394296212
hsa-miR-5707,611.5,1.169612082,0.166090295
hsa-miR-5706,691.5,1.322627563,0.693512891
hsa-miR-5705,778,1.488075551,1.263788573
hsa-miR-5704,791,1.512940567,1.349494744
hsa-miR-5703,631,1.206909605,0.294649553
hsa-miR-5702,620.5,1.186826323,0.225425337
hsa-miR-5701,417,0.797593194,-1.11620589
hsa-miR-5700,732,1.40009165,0.96052058
hsa-miR-570-5p,958.5,1.83331673,2.453785804
hsa-miR-570-3p,421.5,0.806200315,-1.086538369
hsa-miR-5699,739.5,1.414436851,1.009966448
hsa-miR-5698,634.5,1.213604033,0.317724292
hsa-miR-5697,446.5,0.854017653,-0.921718808
hsa-miR-5696,584.5,1.117969357,-0.011914831
hsa-miR-5695,780,1.491900938,1.276974137
hsa-miR-5694,473.5,0.905660377,-0.743713682
hsa-miR-5693,477.5,0.913311151,-0.717342552
hsa-miR-5692c,778,1.488075551,1.263788573
hsa-miR-5692b,774,1.480424777,1.237417443
hsa-miR-5692a,557.5,1.066326632,-0.189919957
hsa-miR-5691,561.5,1.073977406,-0.163548827
hsa-miR-5690,478.5,0.915223845,-0.71074977
hsa-miR-569,532,1.017552948,-0.358035909
