ID,Total_Cell_Count,MCavg_Norm_Cell_Count,MCavg_Norm_Proliferative,Categories
hsa-miR-661,415.5,0.794724154,0.055263726,Anti
hsa-miR-383,423,0.809069355,0.055263726,Anti
hsa-miR-363-5p,445,0.851148612,0.055263726,Anti
hsa-miR-4737,470,0.89896595,0.055263726,Anti
hsa-miR-4750-5p,477,0.912354805,0.055263726,Anti
hsa-miR-3119,479.5,0.917136538,0.055263726,Anti
hsa-miR-584-3p,524.5,1.003207746,0.055263726,Anti
hsa-miR-6720-3p,316,0.604411149,0.062171692,Toxic
hsa-miR-4697-5p,391,0.747863163,0.062171692,Anti
hsa-miR-3189-3p,392.5,0.750732203,0.062171692,Anti
hsa-miR-4527,399.5,0.764121058,0.062171692,Anti
hsa-miR-1180,424.5,0.811938395,0.062171692,Anti
hsa-miR-145-3p,442.5,0.846366879,0.062171692,Anti
hsa-miR-4674,456.5,0.873144588,0.062171692,Anti
hsa-miR-127-3p,457,0.874100934,0.062171692,Anti
hsa-miR-4419a,462,0.883664402,0.062171692,Anti
hsa-miR-3180,464,0.887489789,0.062171692,Anti
hsa-miR-509-3p,505,0.965910223,0.062171692,Anti
hsa-miR-1204,530.5,1.014683907,0.062171692,Anti
hsa-miR-4772-5p,353,0.675180809,0.069079657,Anti
hsa-miR-518b,353,0.675180809,0.069079657,Anti
hsa-miR-452-3p,355.5,0.679962543,0.069079657,Anti
hsa-miR-193a-3p,375,0.717260067,0.069079657,Anti
hsa-miR-6715b-5p,377.5,0.7220418,0.069079657,Anti
hsa-miR-624-3p,407.5,0.779422606,0.069079657,Anti
hsa-miR-4443,423,0.809069355,0.069079657,Anti
hsa-miR-542-3p,430,0.82245821,0.069079657,Anti
hsa-miR-3974,437,0.835847064,0.069079657,Anti
hsa-miR-1275,443.5,0.848279572,0.069079657,Anti
hsa-miR-3591-5p,451.5,0.86358112,0.069079657,Anti
hsa-miR-137,457.5,0.875057281,0.069079657,Anti
hsa-miR-323a-5p,461,0.881751708,0.069079657,Anti
hsa-miR-374c-5p,464.5,0.888446136,0.069079657,Anti
hsa-miR-650,470.5,0.899922297,0.069079657,Anti
hsa-miR-10b-3p,475.5,0.909485764,0.069079657,Anti
hsa-miR-1-3p,484,0.925743659,0.069079657,Anti
hsa-miR-297,507.5,0.970691957,0.069079657,Anti
hsa-miR-4479,523.5,1.001295053,0.069079657,Anti
hsa-miR-4265,531,1.015640254,0.069079657,Anti
hsa-miR-6132,319,0.61014923,0.075987623,Toxic
hsa-miR-4656,361,0.690482357,0.075987623,Anti
hsa-let-7f-1-3p,395.5,0.756470284,0.075987623,Anti
hsa-miR-4515,426,0.814807436,0.075987623,Anti
hsa-miR-6074,427,0.816720129,0.075987623,Anti
hsa-miR-5590-5p,470,0.89896595,0.075987623,Anti
hsa-miR-127-5p,493,0.942957901,0.075987623,Anti
hsa-miR-4522,532,1.017552948,0.075987623,Anti
hsa-miR-1262,540,1.032854496,0.075987623,Anti
hsa-miR-4498,263,0.503038393,0.082895589,Toxic
hsa-miR-5589-5p,323,0.617800004,0.082895589,Toxic
hsa-miR-6130,326.5,0.624494431,0.082895589,Toxic
hsa-miR-5572,332,0.635014246,0.082895589,Toxic
hsa-miR-4642,426.5,0.815763782,0.082895589,Anti
hsa-miR-34c-3p,434,0.830108984,0.082895589,Anti
hsa-miR-4752,467.5,0.894184216,0.082895589,Anti
hsa-miR-449c-5p,479,0.916180192,0.082895589,Anti
hsa-miR-5011-5p,484,0.925743659,0.082895589,Anti
hsa-miR-1278,488,0.933394433,0.082895589,Anti
hsa-miR-4633-3p,494.5,0.945826941,0.082895589,Anti
